sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,raw_data
39232,177,0x0B1,front_brake_pressure,brake_node_1,213167,0,psi_x10,915545293586432
39233,178,0x0B2,rear_brake_pressure,brake_node_1,213167,1945,psi_x10,915545293588377
39234,177,0x0B1,front_brake_pressure,brake_node_1,213177,0,psi_x10,915588243259392
39235,178,0x0B2,rear_brake_pressure,brake_node_1,213177,1945,psi_x10,915588243261337
39236,1795,0x703,engine_rpm,master,213178,606,rpm,915592538227294
39237,177,0x0B1,front_brake_pressure,brake_node_1,213187,0,psi_x10,915631192932352
39238,178,0x0B2,rear_brake_pressure,brake_node_1,213187,1945,psi_x10,915631192934297
39239,177,0x0B1,front_brake_pressure,brake_node_1,213197,0,psi_x10,915674142605312
39240,178,0x0B2,rear_brake_pressure,brake_node_1,213197,1945,psi_x10,915674142607257
39241,1795,0x703,engine_rpm,master,213198,606,rpm,915678437573214
39242,177,0x0B1,front_brake_pressure,brake_node_1,213207,0,psi_x10,915717092278272
39243,178,0x0B2,rear_brake_pressure,brake_node_1,213207,1945,psi_x10,915717092280217
39244,177,0x0B1,front_brake_pressure,brake_node_1,213217,0,psi_x10,915760041951232
39245,178,0x0B2,rear_brake_pressure,brake_node_1,213217,1945,psi_x10,915760041953177
39246,1795,0x703,engine_rpm,master,213218,606,rpm,915764336919134
39247,177,0x0B1,front_brake_pressure,brake_node_1,213227,0,psi_x10,915802991624192
39248,178,0x0B2,rear_brake_pressure,brake_node_1,213227,1945,psi_x10,915802991626137
39249,177,0x0B1,front_brake_pressure,brake_node_1,213237,0,psi_x10,915845941297152
39250,1795,0x703,engine_rpm,master,213237,250,rpm,915845941297402
39251,178,0x0B2,rear_brake_pressure,brake_node_1,213237,1945,psi_x10,915845941299097
39252,177,0x0B1,front_brake_pressure,brake_node_1,213247,0,psi_x10,915888890970112
39253,178,0x0B2,rear_brake_pressure,brake_node_1,213247,1945,psi_x10,915888890972057
39254,177,0x0B1,front_brake_pressure,brake_node_1,213257,0,psi_x10,915931840643072
39255,178,0x0B2,rear_brake_pressure,brake_node_1,213257,1945,psi_x10,915931840645017
39256,1795,0x703,engine_rpm,master,213257,250,rpm,915931840643322
